00044	SQZ SHOTS PACKAGE OF 12			EACH	085383600504	1	35.99	0.00	1	0.00	0	8538360050	SPIRITS	SPIRITS	COCKTAILS-READY TO DRINK (RTD)	UNK	0.00	Y																				0.0000		0.00														0			0			AbDILOSW	0	085383600504	2015-10-19				0	9.2500											
00045	SQZ SHOT RED-HEADED SLUT			EACH	085383600501	1	2.99	0.00	1	2.99	4	5383600501	SPIRITS	SPIRITS	COCKTAILS-READY TO DRINK (RTD)	CRO	0.00	Y																				2.2500		0.00														0			4			AbDILOSW	0	853836005011	2015-10-19				0	9.2500											
00046	HARTLEY PEACH BRANDY			100ML	008066001032	48	0.99	0.00	1	0.00	-3	8066001032	SPIRITS	SPIRITS	BRANDY	GLA	0.00	Y																				0.7100		0.00														0			-3			AbDILOSW	0	080660010328	2015-10-19				2	9.2500											
00047	TWENTY GRAND ROSE			100ML	081245901206	24	2.99	0.00	1	2.99	-13	1245901206	SPIRITS	SPIRITS	VODKA-FLAVORED	ATH	0.00	Y																				2.0400		0.00														0			-13			AbDILOSW	0	812459012066	2015-10-19				2	9.2500											
00048	AMSTERDAM VODKA CITRUS			EACH	008500002129	1	1.83	0.00	1	0.00	0	8500002129	SPIRITS	SPIRITS	VODKA-FLAVORED	UNK	0.00	Y																				1.1000		0.00														0			0			AbDILOSW	0	08500002129	2015-10-19				0	9.2500											
00049	CUERVO CINGE			EACH	081153801208	1	3.49	0.00	1	0.00	0	1153801208	SPIRITS	SPIRITS	TEQUILA-FLAVORED	UNK	0.00	Y																				0.9800		0.00														0			0			AbDILOSW	0	81153801208	2015-10-19				0	9.2500											
00050	HENNESSY VS			100ML	008811015061	96	8.99	0.00	1	0.00	0	8811015061	SPIRITS	SPIRITS	COGNAC	UNK	0.00	Y																				6.3368		0.00														0			0			AbDILOSW	0	088110150617	2015-10-19				2	9.2500											
00051	FIREBALL CINNAMON 100			100ML	008800400937	48	1.99	0.00	1	0.00	120	8800400937	SPIRITS	SPIRITS	WHISKEY-FLAVORED	GLA	0.00	Y																				1.3497		0.00														0			120			AbDILOSW	0	088004009373	2015-10-19				2	9.2500											
00052	SIDEKICK BUTTERSCOTCH			EACH	501116601947	1	5.99	0.00	1	0.00	0	501116601947	SPIRITS	SPIRITS	COCKTAILS-READY TO DRINK (RTD)	UNK	0.00	Y																				0.0000		0.00														0			0			AbDILOSW	0	501116601947	2015-10-19				0	9.2500											
00053	BIRD DOG APPLE 100 ML			100ML	081245901290	48	1.99	0.00	1	0.00	0	1245901290	SPIRITS	SPIRITS	WHISKEY-FLAVORED	ATH	0.00	Y																				1.4100		0.00														0			0			AbDILOSW	0	812459012905	2015-10-19				2	9.2500											
00054	E&J BRANDY			100ML	008500000447	48	1.99	0.00	1	1.99	0	8500000447	SPIRITS	SPIRITS	BRANDY	UNK	0.00	Y																				1.3600		0.00														0			0			AbDILOSW	0	08500000447	2015-10-19				2	9.2500											
00055	CUERVO GOLD			100ML	081153801198	48	2.99	0.00	1	0.00	71	1153801198	SPIRITS	SPIRITS	TEQUILA	GLA	0.00	Y																				1.7570		0.00														0			71			AbDILOSW	0	811538011983	2015-10-19				2	9.2500											
00056	JIM BEAM 4YR			EACH	008068600180	1	1.83	0.00	1	1.83	0	8068600180	SPIRITS	SPIRITS	SPIRITS WHISKEY	UNK	0.00	Y																				1.4100		0.00														0			0			AbDILOSW	0	08068600180	2015-10-19				0	9.2500											
00057	MASSON BRANDY			EACH	002129600651	1	2.29	0.00	1	2.29	0	2129600651	SPIRITS	SPIRITS	BRANDY	UNK	0.00	Y																				1.5100		0.00														0			0			AbDILOSW	0	02129600651	2015-10-19				0	9.2500											
00058	TWISTED SHOTZ WHIPPED			4 PACK	076642700353	18	4.99	0.00	1	4.99	0	6642700353	SPIRITS	SPIRITS	COCKTAILS-READY TO DRINK (RTD)	UNK	0.00	Y																				4.6100		0.00														0			0			AbDILOSW	0	76642700353	2015-10-19				0	9.2500											
00059	TWISTED SHOTZ PORN STAR			4 PACK	076642700342	18	4.99	0.00	1	0.00	0	6642700342	SPIRITS	SPIRITS	COCKTAILS-READY TO DRINK (RTD)	GLA	0.00	Y																				3.8383		0.00														0			0			AbDILOSW	0	766427003429	2015-10-19				0	9.2500											
00060	BALUARTE BLANCO			EACH	000007502834	1	9.98	0.00	1	0.00	-1	0007502834	SPIRITS	SPIRITS	TEQUILA	UNK	0.00	Y																				7.6800		0.00														0			-1			AbDILOSW	0	00007502834	2015-10-19				0	9.2500											
00061	BIRD DOG PEACH 100 ML			100ML	081245901068	48	1.99	0.00	1	0.00	2	1245901068	SPIRITS	SPIRITS	WHISKEY-FLAVORED	ATH	0.00	Y																				1.4100		0.00														0			2			AbDILOSW	0	812459010680	2015-10-19				2	9.2500											
00062	BENCHMARK			EACH	008800400605	1	1.37	0.00	1	0.00	0	8800400605	SPIRITS	SPIRITS	SPIRITS WHISKEY	UNK	0.00	Y																				1.0500		0.00														0			0			AbDILOSW	0	08800400605	2015-10-19				0	9.2500											
00063	COURVOISIER			EACH	008068696111	1	4.99	0.00	1	0.00	0	0806869611	SPIRITS	SPIRITS	COGNAC	UNK	0.00	Y																				3.3100		0.00														0			0			AbDILOSW	0	008068696111	2015-10-19				0	9.2500											
00064	SQZ SHOTS SEX ON THE BEACH			EACH	085383600503	1	2.99	0.00	1	0.00	0	5383600503	SPIRITS	SPIRITS	COCKTAILS-READY TO DRINK (RTD)	UNK	0.00	Y																				0.0000		0.00														0			0			AbDILOSW	0	85383600503	2015-10-19				0	9.2500											
00065	SMIRNOFF  80 50			50ML	008200000024	120	0.99	0.00	1	0.00	-17	8200000472	SPIRITS	SPIRITS	50 ML MINIS	UNK	0.00	Y																				0.7100		0.00														0			-17			AbDILOSWV	0	082000004721	2015-10-19				0	9.2500											
00066	TWISTED SHOTZ HOT LICKS			4 PACK	076642700359	18	4.99	0.00	1	0.00	0	6642700359	SPIRITS	SPIRITS	COCKTAILS-READY TO DRINK (RTD)	UNK	0.00	Y																				4.6100		0.00														0			0			AbDILOSW	0	76642700359	2015-10-19				0	9.2500											
00067	TWENTY GRAND PEACH			100ML	081245901325	24	2.99	0.00	1	0.00	-11	1245901325	SPIRITS	SPIRITS	VODKA-FLAVORED	ATH	0.00	Y																				2.1153		0.00														0			-11			AbDILOSW	0	812459013254	2015-10-19				2	9.2500											
00068	TWISTED SHOTZ SEX ON THE BEACH			4 PACK	076642700344	18	4.99	0.00	1	0.00	30	6642700344	SPIRITS	SPIRITS	COCKTAILS-READY TO DRINK (RTD)	GLA	0.00	Y																				3.8383		0.00														0			30			AbDILOSW	0	766427003443	2015-10-19				0	9.2500											
00069	RUM CHATA 3 PACK			EACH	089035500109	20	6.99	0.00	1	0.00	5	9035500109	SPIRITS	SPIRITS	LIQUERS	GLA	0.00	Y																				5.2600		0.00														0			5			AbDILOSW	0	890355001094	2015-10-19				0	9.2500											
00070	COYOTE MARGARITA			EACH	085242500302	1	2.29	0.00	1	0.00	0	5242500302	SPIRITS	SPIRITS	COCKTAILS-READY TO DRINK (RTD)	UNK	0.00	Y																				1.7400		0.00														0			0			AbDILOSW	0	85242500302	2015-10-19				0	9.2500											
00071	SQZ SHOT WASHINGTON APPLE			EACH	085383600502	1	2.99	0.00	1	2.99	1	5383600502	SPIRITS	SPIRITS	COCKTAILS-READY TO DRINK (RTD)	CRO	0.00	Y																				2.2500		0.00														0			1			AbDILOSW	0	853836005028	2015-10-19				0	9.2500											
00072	JACK BLACK			100ML	008218408183	48	2.29	0.00	1	0.00	4432	8218408183	SPIRITS	SPIRITS	SPIRITS WHISKEY	ATH	0.00	Y																				1.5868		0.00														0			4432			AbDILOSW	0	082184081839	2015-10-19				2	9.2500											
00073	GRANDE ABSENTE ORIGINALE			100ML	068976822300	72	9.99	0.00	1	0.00	-1	8976822300	SPIRITS	SPIRITS	LIQUERS	GLA	0.00	Y																				6.9152		0.00														0			-1			AbDILOSW	0	689768223007	2015-10-19				2	9.2500											
00074	JACK BLACK HONEY			100ML	008218400063	48	2.29	0.00	1	0.00	736	8218400063	SPIRITS	SPIRITS	WHISKEY-FLAVORED	ATH	0.00	Y																				1.5868		0.00														0			736			AbDILOSWV	0	082184000632	2015-10-19				2	9.2500											
00075	ARBOR MIST MANGO			EACH	008210073866	1	1.99	0.00	1	0.00	0	8210073866	WINE - $1 - $4.99	WINE	WINE - $1 - $4.99	UNK	0.00	Y																				0.9700		0.00														0			0			AbDILOSW	0	08210073866	2015-10-19				0	9.2500											
00076	DAILYS BLUE HAWAIIAN			EACH	007480618610	1	2.49	0.00	1	2.49	0	7480618610	SPIRITS	SPIRITS	COCKTAILS-READY TO DRINK (RTD)	UNK	0.00	Y																				1.5300		0.00														0			0			AbDILOSW	0	07480618610	2015-10-19				0	9.2500											
00077	ARBOR MIST COCKTAIL-BLACKBERRY			EACH	008210073858	1	1.99	0.00	1	0.00	0	8210073858	WINE - $1 - $4.99	WINE	WINE - $1 - $4.99	UNK	0.00	Y																				0.9700		0.00														0			0			AbDILOSW	0	08210073858	2015-10-19				0	9.2500											
00078	ARBOR MIST STRAWBERRY DAIQUIRI			EACH	008210073882	1	1.99	0.00	1	0.00	0	8210073882	WINE - $1 - $4.99	WINE	WINE - $1 - $4.99	UNK	0.00	Y																				1.1900		0.00														0			0			AbDILOSW	0	08210073882	2015-10-19				0	9.2500											
00079	DAILYS JAMAICAN SMILE			EACH	007480618940	24	2.49	0.00	1	0.00	9	7480618940	SPIRITS	SPIRITS	COCKTAILS-READY TO DRINK (RTD)	ATH	0.00	Y																				1.4739		0.00														48			57			AbDILOSW	0	074806189405	2015-10-19				0	9.2500											
00080	ARBOR MIST LIME MARGARITA			EACH	008210073879	1	1.99	0.00	1	0.00	0	8210073879	WINE - $1 - $4.99	WINE	WINE - $1 - $4.99	UNK	0.00	Y																				0.9700		0.00														0			0			AbDILOSW	0	08210073879	2015-10-19				0	9.2500											
